tracking_id,opened_at,ip_address,device_type,user_agent,tracking_method,referer
588_saiyo@nikken-r.co.jp_20250624110940_69fb0b22,2025-06-24 13:41:48,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",test,
806_info@keyman.co.jp_20250624113246_368055d4,2025-06-24 13:41:54,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",test,
588_saiyo@nikken-r.co.jp_20250624110940_69fb0b22,2025-06-24 13:42:09,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",pixel,
806_info@keyman.co.jp_20250624113246_368055d4,2025-06-24 13:42:13,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",pixel,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:33:36,127.0.0.1,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",manual_test,
test_tracking_id,2025-06-24 15:48:59,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
test_tracking_id,2025-06-24 15:48:59,127.0.0.1,Unknown,python-requests/2.32.4,css,
test_tracking_id,2025-06-24 15:48:59,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:48:59,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:00,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:01,127.0.0.1,Unknown,python-requests/2.32.4,css,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:02,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:03,127.0.0.1,Unknown,python-requests/2.32.4,focus,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:04,127.0.0.1,Unknown,python-requests/2.32.4,unload,
improved_k_abe_raxus_inc_20250624152839_b5e1ece7,2025-06-24 15:49:05,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,css,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,focus,
diagnosis_test_1750753541,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,unload,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,css,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,beacon,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,xhr,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,focus,
1374_info@takenaka-mfg.co.jp_20250624155819_cfe7cd5f,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,unload,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,pixel,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,fallback,
1362_info@torica-inc.co.jp_20250624155717_07948de6,2025-06-24 17:25:41,127.0.0.1,Unknown,python-requests/2.32.4,css,
