企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
1,エスケー化研株式会社,info@sk-kaken.co.jp,事務スタッフ,,2025-06-23 12:35:15,success,1_info@sk-kaken.co.jp_20250623123515_ffb3b050,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
2,ラ・シンシア株式会社,info@sincere.co.jp,製造スタッフ,,2025-06-23 12:35:20,success,2_info@sincere.co.jp_20250623123520_ebceba4e,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
3,日本セロンパック株式会社,info@cellonpack.com,事務スタッフ,,2025-06-23 12:35:25,success,3_info@cellonpack.com_20250623123525_3f1fbbb9,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
4,西日本旅客鉄道株式会社,info@westjr.co.jp,技術職,,2025-06-23 12:35:30,success,4_info@westjr.co.jp_20250623123530_ff44fdc4,,【技術職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
5,クルーズカンパニー株式会社,info@crewz.co.jp,事務系総合職,,2025-06-23 12:35:35,success,5_info@crewz.co.jp_20250623123535_890c1ae2,,【事務系総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
6,学校法人文際学園,info@www.osakagaigo.ac.jp,英語講師,2025-06-23 12:38:36,success,success,6_info@www.osakagaigo.ac.jp_20250623123836_85d8ef3f,【英語講師の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
7,ハウスホールドジャパン株式会社,info@www.h2j.jp,ルート営業,2025-06-23 12:38:41,success,success,7_info@www.h2j.jp_20250623123841_f8a1bb75,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
8,株式会社オリエンタルベーカリー,info@www.orientalbakery.co.jp,ルート配送ドライバー,2025-06-23 12:39:46,success,success,8_info@www.orientalbakery.co.jp_20250623123946_bd8447b4,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
9,株式会社フレックス,info@www.flex-og.jp,点検・取付スタッフ,2025-06-23 12:39:51,success,success,9_info@www.flex-og.jp_20250623123951_eb0859ac,【点検・取付スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
10,株式会社青井黒板製作所,info@www.aoikokuban.co.jp,営業職,2025-06-23 12:39:56,success,success,10_info@www.aoikokuban.co.jp_20250623123956_99e0741a,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
11,阪栄株式会社,info@www.hanei-co.jp,事務スタッフ,2025-06-23 13:05:14,success,success,11_info@www.hanei-co.jp_20250623130514_56362d51,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
12,株式会社CROSS CORPORATION,info@www.crosscorporation.co.jp,営業職,2025-06-23 13:05:20,success,success,12_info@www.crosscorporation.co.jp_20250623130519_89bb3fb3,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
13,小西マーク株式会社,info@www.konishi-mark.com,デザインスタッフ,2025-06-23 13:05:25,success,success,13_info@www.konishi-mark.com_20250623130525_7dc6c9f4,【デザインスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
14,ソマックス株式会社,info@www.somax.co.jp,法人営業職,2025-06-23 13:05:30,success,success,14_info@www.somax.co.jp_20250623130530_810865ac,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
15,日機株式会社,info@www.nikki-tr.co.jp,総合職,2025-06-23 13:05:36,success,success,15_info@www.nikki-tr.co.jp_20250623130535_74822c96,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
16,株式会社アンフ・スタイル,info@unf-style.com,人材派遣マネージャー,2025-06-23 13:16:54,success,success,16_info@unf-style.com_20250623131654_539fd783,【人材派遣マネージャーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
17,ローゼン製菓株式会社,info@www.manneken.co.jp,製造・生産管理,2025-06-23 13:16:59,success,success,17_info@www.manneken.co.jp_20250623131659_3f71e4e8,【製造・生産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
18,アルインコ株式会社,info@alinco.co.jp,ECサイト運営,2025-06-23 13:17:04,success,success,18_info@alinco.co.jp_20250623131704_e381dca2,【ECサイト運営の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
19,株式会社キンキセフテイ,info@kinkisefutei.co.jp,人事総務,2025-06-23 13:17:09,success,success,19_info@kinkisefutei.co.jp_20250623131709_8482c188,【人事総務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
20,株式会社シードアシスト,info@www.seedassist.co.jp,ラジオの報道デスク,2025-06-23 13:17:15,success,success,20_info@www.seedassist.co.jp_20250623131714_cd301572,【ラジオの報道デスクの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
21,株式会社アドバンス一世,info@advance-1st.co.jp,グラフィックデザイナー,グラフィックデザイナー,2025-06-23 18:24:03,success,21_info@advance-1st.co.jp_20250623182402_2191ef62,,【グラフィックデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
21,株式会社アドバンス一世,info@www.advance-1st.co.jp,グラフィックデザイナー,2025-06-23 13:17:20,success,success,21_info@www.advance-1st.co.jp_20250623131720_dc41024f,【グラフィックデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
22,光徳電興株式会社,info@www.koutokudenkou.co.jp,電気施工管理,2025-06-23 13:17:25,success,success,22_info@www.koutokudenkou.co.jp_20250623131725_6d55eeea,【電気施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
23,株式会社テルテルアドバンス,info@www.teruteru.co.jp,自転車店運営スタッフ,2025-06-23 13:17:30,success,success,23_info@www.teruteru.co.jp_20250623131730_5f1dd918,【自転車店運営スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
24,株式会社トラスト,info@recruit-trust.jp,営業事務,2025-06-23 13:17:35,success,success,24_info@recruit-trust.jp_20250623131735_ff483355,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
25,株式会社月虎金属,info@www.tsukitora.com,営業事務,2025-06-23 13:17:40,success,success,25_info@www.tsukitora.com_20250623131740_6b842f7d,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
25,株式会社月虎金属,info@www.tsukitora.com,営業事務,2025-06-23 13:19:52,skipped,,重複送信防止,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
26,株式会社浪速技建,info@www.naniwakanri.co.jp,設備点検スタッフ,2025-06-23 13:19:57,success,success,26_info@www.naniwakanri.co.jp_20250623131957_6a121766,【設備点検スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
27,林一二株式会社,info@www.hayashikazuji.co.jp,総務経理,2025-06-23 13:20:03,success,success,27_info@www.hayashikazuji.co.jp_20250623132003_b8431e66,【総務経理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
28,吉本興業ホールディングス株式会社,info@www.yoshimoto.co.jp:443,総合職,2025-06-23 13:20:08,bounced,success,"{'': (501, b'5.1.3 Bad recipient address syntax')}",【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
29,株式会社アイレス,info@www.iress.jp,音響・映像スタッフ,2025-06-23 13:20:13,success,success,29_info@www.iress.jp_20250623132013_ce0d1ad6,【音響・映像スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
30,株式会社AIE,info@www.aiengineering.jp,設計職,2025-06-23 13:20:18,success,success,30_info@www.aiengineering.jp_20250623132018_c9c804e3,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
31,株式会社キリン・エンジニアリング・サービス,info@www.kirin-e-s.co.jp,設備管理,2025-06-23 13:20:23,success,success,31_info@www.kirin-e-s.co.jp_20250623132023_6c5e2823,【設備管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
32,株式会社リブ・クリエート,info@www.live-create.co.jp,インテリアアドバイザー,2025-06-23 13:20:28,success,success,32_info@www.live-create.co.jp_20250623132028_7147ac9a,【インテリアアドバイザーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
33,インプルーブ株式会社,info@im-prove.co.jp,グランドスタッフ,2025-06-23 13:20:34,success,success,33_info@im-prove.co.jp_20250623132033_ad1134b5,【グランドスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
34,理水化学株式会社,info@risui-kagaku.co.jp,総合職,2025-06-23 13:20:39,success,success,34_info@risui-kagaku.co.jp_20250623132039_4a6f95ef,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
35,株式会社天政松下,info@www.tenmasamatsushita.co.jp,製造職,2025-06-23 13:20:44,success,success,35_info@www.tenmasamatsushita.co.jp_20250623132044_c1f9a047,【製造職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
36,東レ株式会社,info@www.toray.co.jp,化学系総合職,2025-06-23 13:20:49,success,success,36_info@www.toray.co.jp_20250623132049_d2c7fada,【化学系総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
37,株式会社アルトナー,info@www.artner.co.jp,開発エンジニア,2025-06-23 13:20:54,success,success,37_info@www.artner.co.jp_20250623132054_7ee2ba43,【開発エンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
37,株式会社アルトナー,career@artner.co.jp,開発エンジニア,開発エンジニア,2025-06-23 18:24:12,success,37_career@artner.co.jp_20250623182412_0f054361,,【開発エンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
38,株式会社Ryuki Design,info@recruit.ryuki-design.jp,Webディレクター,Webディレクター,2025-06-23 18:24:18,success,38_info@recruit.ryuki-design.jp_20250623182417_b87b092a,,【Webディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
38,株式会社Ryuki Design,info@recruit.ryuki-design.jp,Webディレクター,2025-06-23 13:20:59,success,success,38_info@recruit.ryuki-design.jp_20250623132059_1fe1487e,【Webディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
39,読売テレビ放送株式会社,info@www.ytv.co.jp,営業職,2025-06-23 13:21:05,success,success,39_info@www.ytv.co.jp_20250623132104_9f04e19d,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
39,読売テレビ放送株式会社,info@ytv.co.jp,営業職,営業職,2025-06-23 18:24:23,success,39_info@ytv.co.jp_20250623182423_e9205fc2,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
40,パーソルエクセルHRパートナーズ株式会社,info@persol-hrpartners.co.jp,事務スタッフ,事務スタッフ,2025-06-23 18:24:28,success,40_info@persol-hrpartners.co.jp_20250623182428_1b5105b8,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
40,パーソルエクセルHRパートナーズ株式会社,info@persol-hrpartners.co.jp,事務スタッフ,2025-06-23 13:21:10,success,success,40_info@persol-hrpartners.co.jp_20250623132110_6b340450,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
41,大光電機株式会社,info@www.lighting-daiko.co.jp,住宅照明プラン作成,2025-06-23 13:21:15,success,success,41_info@www.lighting-daiko.co.jp_20250623132115_b67b4ead,【住宅照明プラン作成の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
41,大光電機株式会社,info@lighting-daiko.co.jp,住宅照明プラン作成,住宅照明プラン作成,2025-06-23 18:24:33,success,41_info@lighting-daiko.co.jp_20250623182433_89e53f2b,,【住宅照明プラン作成の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
42,一般財団法人 関西電気保安協会,info@ksdh.or.jp,保安管理スタッフ,保安管理スタッフ,2025-06-23 18:24:38,success,42_info@ksdh.or.jp_20250623182438_681a9505,,【保安管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
42,一般財団法人 関西電気保安協会,info@www.ksdh.or.jp,保安管理スタッフ,2025-06-23 13:21:20,success,success,42_info@www.ksdh.or.jp_20250623132120_3791260d,【保安管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
43,キンリューフーズ株式会社,info@www.kinryu-foods.co.jp,ルート営業,2025-06-23 13:21:25,success,success,43_info@www.kinryu-foods.co.jp_20250623132125_a569cd3c,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
43,キンリューフーズ株式会社,info@kinryu-foods.co.jp,ルート営業,2025-06-23 13:28:50,skipped,,重複送信防止,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
43,キンリューフーズ株式会社,info@kinryu-foods.co.jp,ルート営業,ルート営業,2025-06-23 18:24:43,success,43_info@kinryu-foods.co.jp_20250623182443_1c3cdfb0,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
44,山九近畿サービス株式会社,info@sankyu-sks.com,クレーンオペレーター,2025-06-23 13:21:30,success,success,44_info@sankyu-sks.com_20250623132130_9222886f,【クレーンオペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
44,山九近畿サービス株式会社,info@sankyu-sks.com,クレーンオペレーター,クレーンオペレーター,2025-06-23 18:24:49,success,44_info@sankyu-sks.com_20250623182448_928f1d4a,,【クレーンオペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
45,三栄薬品貿易株式会社,info@www.sanei-yakuhin.co.jp,品質管理,2025-06-23 13:21:35,success,success,45_info@www.sanei-yakuhin.co.jp_20250623132135_98788c25,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
45,三栄薬品貿易株式会社,soumu@sanei-yakuhin.co.jp,品質管理,品質管理,2025-06-23 18:24:54,success,45_soumu@sanei-yakuhin.co.jp_20250623182454_e3e67a69,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
46,日清食品株式会社,info@www.nissin.com,製造オペレーター,2025-06-23 13:21:41,success,success,46_info@www.nissin.com_20250623132140_59607de1,【製造オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
46,日清食品株式会社,nissinfoods@saizou.com,製造オペレーター,製造オペレーター,2025-06-23 18:24:59,success,46_nissinfoods@saizou.com_20250623182459_9f445080,,【製造オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
47,寿精版印刷株式会社,tokyo_somu18@rex.co.jp,Web制作,Web制作,2025-06-23 18:25:04,success,47_tokyo_somu18@rex.co.jp_20250623182504_3a3fe108,,【Web制作の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
47,寿精版印刷株式会社,info@www.rex.co.jp,Web制作,2025-06-23 13:21:46,success,success,47_info@www.rex.co.jp_20250623132146_f4d4dd48,【Web制作の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
48,株式会社マエカワ,info@www.kk-maekawa.co.jp,リペアスタッフ,2025-06-23 13:21:51,success,success,48_info@www.kk-maekawa.co.jp_20250623132151_b2cb1221,【リペアスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
48,株式会社マエカワ,maekawa-employ@kk-maekawa.co.jp,リペアスタッフ,リペアスタッフ,2025-06-23 18:25:09,success,48_maekawa-employ@kk-maekawa.co.jp_20250623182509_e7ccd548,,【リペアスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
49,社会福祉法人優光福祉会,info@d-sawayakaen.com,サポートスタッフ,2025-06-23 13:21:56,success,success,49_info@d-sawayakaen.com_20250623132156_350677af,【サポートスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
49,社会福祉法人優光福祉会,info@d-sawayakaen.com,サポートスタッフ,サポートスタッフ,2025-06-23 18:25:15,success,49_info@d-sawayakaen.com_20250623182514_f5e52355,,【サポートスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
50,株式会社askme,info@askme.co.jp,WEBデザイナー,WEBデザイナー,2025-06-23 18:25:20,success,50_info@askme.co.jp_20250623182520_b4c33920,,【WEBデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
50,株式会社askme,info@www.askme.co.jp,WEBデザイナー,2025-06-23 13:22:01,success,success,50_info@www.askme.co.jp_20250623132201_4e796ff4,【WEBデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
51,株式会社キャスト,info@castnet.co.jp,デザイナー,2025-06-23 13:29:10,success,success,51_info@castnet.co.jp_20250623132910_9a88e563,【デザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
52,山本技研工機株式会社,info@yamamotogiken-kohki.co.jp,設計職,2025-06-23 14:31:07,success,success,52_info@yamamotogiken-kohki.co.jp_20250623143106_42cfcfa0,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
53,株式会社ビジョンメガネ,info@vision-megane.co.jp,店舗スタッフ,2025-06-23 14:31:12,success,success,53_info@vision-megane.co.jp_20250623143112_5e4580cc,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
54,株式会社哲建,info@tekken-web.co.jp,建築施工管理技士,2025-06-23 14:31:17,success,success,54_info@tekken-web.co.jp_20250623143117_57aace70,【建築施工管理技士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
55,富士産業株式会社,info@fuji-sangyou.co.jp,施工管理職,2025-06-23 14:31:23,success,success,55_info@fuji-sangyou.co.jp_20250623143122_2178f3dd,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
56,学校法人修成学園,info@syusei.ac.jp,広報・事務,2025-06-23 14:31:28,success,success,56_info@syusei.ac.jp_20250623143128_88752889,【広報・事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
57,西日本高速道路エンジニアリング関西株式会社,info@w-e-kansai.co.jp,水質管理,2025-06-23 14:31:33,success,success,57_info@w-e-kansai.co.jp_20250623143133_074b71af,【水質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
58,株式会社住まいるコム,info@smilecom.co.jp,営業職,2025-06-23 14:31:38,success,success,58_info@smilecom.co.jp_20250623143138_3c86d6e9,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
59,ジーベック株式会社,info@xebec-net.co.jp,出力オペレーター,2025-06-23 14:31:43,success,success,59_info@xebec-net.co.jp_20250623143143_a16ac8ea,【出力オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
